Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification,ID
Jamaica,Americas,31907,1077.51,5003,168.95,602,494,16.68,40,1.35,2,Community transmission,106
Japan,Western Pacific,449713,355.57,7984,6.31,1025,8678,6.86,325,0.26,56,Clusters of cases,107
Jersey,Europe,3222,2961.4,2,1.84,0,69,63.42,0,0,0,Community transmission,108
Jordan,Eastern Mediterranean,495380,4855.17,53178,521.19,8910,5497,53.88,451,4.42,69,Community transmission,109
Kazakhstan,Europe,275502,1467.25,5903,31.44,0,3511,18.7,55,0.29,0,Clusters of cases,110
Kenya,Africa,113967,211.95,4803,8.93,731,1918,3.57,39,0.07,5,Community transmission,111
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,112
Kosovo[1],Europe,77784,4181.08,4052,217.8,574,1705,91.65,60,3.23,13,Community transmission,113
Kuwait,Eastern Mediterranean,212169,4968.16,9114,213.41,1314,1186,27.77,45,1.05,7,Community transmission,114
Kyrgyzstan,Europe,86990,1333.34,384,5.89,73,1484,22.75,9,0.14,1,Clusters of cases,115
Lao People's Democratic Republic,Western Pacific,49,0.67,2,0.03,0,0,0,0,0,0,Sporadic cases,116
Latvia,Europe,93957,4981.29,3432,181.95,166,1769,93.79,70,3.71,2,Community transmission,117
Lebanon,Eastern Mediterranean,423433,6203.74,21623,316.8,3480,5474,80.2,340,4.98,52,Community transmission,118
Lesotho,Africa,10530,491.54,7,0.33,0,309,14.42,1,0.05,0,Community transmission,119
Liberia,Africa,2030,40.14,6,0.12,0,85,1.68,0,0,0,Community transmission,120
Libya,Eastern Mediterranean,147121,2141.1,6433,93.62,1041,2406,35.02,109,1.59,4,Community transmission,121
Liechtenstein,Europe,2692,7058.76,22,57.69,0,54,141.59,0,0,0,Sporadic cases,122
Lithuania,Europe,206290,7577.81,3390,124.53,646,3416,125.48,75,2.76,6,Community transmission,123
Luxembourg,Europe,57926,9253.68,1249,199.53,49,693,110.71,30,4.79,4,Community transmission,124
Madagascar,Africa,21356,77.12,1201,4.34,0,326,1.18,26,0.09,0,Community transmission,125
Malawi,Africa,32864,171.79,395,2.06,33,1084,5.67,14,0.07,1,Community transmission,126
Malaysia,Western Pacific,326034,1007.33,9765,30.17,1063,1218,3.76,32,0.1,5,Clusters of cases,127
Maldives,South-East Asia,21819,4036.49,785,145.22,153,64,11.84,0,0,0,Clusters of cases,128
Mali,Africa,8862,43.76,282,1.39,0,360,1.78,2,0.01,0,Community transmission,129
Malta,Europe,26748,6057.85,2149,486.7,213,354,80.17,20,4.53,3,Clusters of cases,130
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases,131
Martinique,Americas,7037,1875.21,151,40.24,0,47,12.52,0,0,0,Community transmission,132
Mauritania,Africa,17457,375.45,117,2.52,19,444,9.55,2,0.04,0,Community transmission,133
Mauritius,Africa,770,60.55,129,10.14,79,10,0.79,0,0,0,Clusters of cases,134
Mayotte,Africa,18845,6907.61,432,158.35,0,137,50.22,8,2.93,0,Community transmission,135
Mexico,Americas,2167729,1681.29,37252,28.89,1439,194944,151.2,4021,3.12,234,Community transmission,136
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,137
Monaco,Europe,2120,5402.1,92,234.43,13,27,68.8,1,2.55,0,Sporadic cases,138
Mongolia,Western Pacific,4210,128.42,838,25.56,127,4,0.12,1,0.03,0,Clusters of cases,139
Montenegro,Europe,84149,13398.11,2693,428.78,0,1129,179.76,37,5.89,0,Clusters of cases,140
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases,141
Morocco,Eastern Mediterranean,489622,1326.51,2789,7.56,526,8737,23.67,42,0.11,4,Clusters of cases,142
Mozambique,Africa,64516,206.42,1813,5.8,0,725,2.32,27,0.09,0,Community transmission,143
Myanmar,South-East Asia,142162,261.28,103,0.19,15,3203,5.89,3,0.01,1,Clusters of cases,144
Namibia,Africa,41424,1630.29,1237,48.68,224,465,18.3,26,1.02,7,Community transmission,145
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,146
Nepal,South-East Asia,275424,945.28,555,1.9,114,3014,10.34,2,0.01,0,Clusters of cases,147
Netherlands,Europe,1162661,6785.35,38884,226.93,5549,16087,93.88,230,1.34,18,Community transmission,148
New Caledonia,Western Pacific,95,33.28,25,8.76,2,0,0,0,0,0,Sporadic cases,149
New Zealand,Western Pacific,2078,43.09,24,0.5,3,26,0.54,0,0,0,Clusters of cases,150
Nicaragua,Americas,5251,79.27,35,0.53,35,176,2.66,1,0.02,1,Community transmission,151
Niger,Africa,4865,20.1,36,0.15,5,182,0.75,5,0.02,0,Community transmission,152
Nigeria,Africa,160895,78.05,1989,0.96,238,2016,0.98,34,0.02,3,Community transmission,153
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,154
North Macedonia,Europe,112930,5420.52,5451,261.64,284,3340,160.32,134,6.43,21,Community transmission,155
Northern Mariana Islands (Commonwealth of the),Western Pacific,156,271.04,10,17.37,0,2,3.47,0,0,0,Pending,156
Norway,Europe,80440,1483.79,5500,101.45,2400,640,11.81,8,0.15,1,Community transmission,157
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,241286,4729.79,14552,285.25,2397,2561,50.2,161,3.16,27,Community transmission,158
Oman,Eastern Mediterranean,148010,2898.39,3179,62.25,587,1614,31.61,17,0.33,5,Community transmission,159
Other,Other,745,,0,,0,13,,0,,0,Not applicable,160
Pakistan,Eastern Mediterranean,609964,276.14,16511,7.47,2511,13595,6.15,314,0.14,58,Community transmission,161
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,162
Panama,Americas,348155,8068.92,2919,67.65,236,6005,139.17,71,1.65,11,Community transmission,163
Papua New Guinea,Western Pacific,2479,27.71,738,8.25,128,31,0.35,10,0.11,5,Community transmission,164
Paraguay,Americas,181414,2543.47,11554,161.99,1400,3517,49.31,174,2.44,41,Community transmission,165
Peru,Americas,1418974,4303.59,44507,134.98,6568,49177,149.15,1204,3.65,174,Community transmission,166
Philippines,Western Pacific,631320,576.12,30892,28.19,4427,12848,11.72,320,0.29,11,Community transmission,167
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,168
Poland,Europe,1931921,5104.61,120885,319.41,14394,47578,125.71,1979,5.23,372,Community transmission,169
Portugal,Europe,814513,7988,4054,39.76,256,16694,163.72,129,1.27,10,Clusters of cases,170
Puerto Rico,Americas,103211,3607.7,1274,44.53,216,2081,72.74,15,0.52,1,Community transmission,171
Qatar,Eastern Mediterranean,171212,5942.69,3324,115.37,479,268,9.3,4,0.14,1,Community transmission,172
Republic of Korea,Western Pacific,96849,188.9,3116,6.08,469,1686,3.29,38,0.07,8,Clusters of cases,173
Republic of Moldova,Europe,205324,5089.88,9722,241,861,4365,108.21,236,5.85,35,Community transmission,174
Réunion,Africa,13801,1541.47,676,75.5,0,71,7.93,12,1.34,0,Community transmission,175
Romania,Europe,862681,4484.33,32118,166.95,2972,21565,112.1,602,3.13,82,Community transmission,176
Russian Federation,Europe,4409438,3021.52,66964,45.89,9393,92937,63.68,3128,2.14,443,Clusters of cases,177
Rwanda,Africa,20143,155.52,484,3.74,0,276,2.13,8,0.06,0,Community transmission,178
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases,179
Saint Barthélemy,Americas,725,7334.34,54,546.28,0,1,10.12,1,10.12,0,Clusters of cases,180
Saint Kitts and Nevis,Americas,43,80.84,2,3.76,0,0,0,0,0,0,Sporadic cases,181
Saint Lucia,Americas,4053,2207.19,182,99.11,0,55,29.95,9,4.9,0,Community transmission,182
Saint Martin,Americas,1612,4169.79,31,80.19,0,12,31.04,0,0,0,Community transmission,183
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases,184
Saint Vincent and the Grenadines,Americas,1681,1515.23,18,16.22,0,9,8.11,1,0.9,0,Community transmission,185
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases,186
San Marino,Europe,4151,12231.13,167,492.07,25,77,226.88,0,0,0,Community transmission,187
Sao Tome and Principe,Africa,2084,950.91,123,56.12,6,32,14.6,0,0,0,Community transmission,188
Saudi Arabia,Eastern Mediterranean,383106,1100.44,2534,7.28,354,6578,18.89,39,0.11,5,Sporadic cases,189
Senegal,Africa,36996,220.95,1037,6.19,104,978,5.84,53,0.32,15,Community transmission,190
Serbia,Europe,520911,7480.31,31381,450.63,4634,4747,68.17,168,2.41,28,Community transmission,191
Seychelles,Africa,3315,3370.72,326,331.48,83,16,16.27,2,2.03,1,Community transmission,192
Sierra Leone,Africa,3938,49.37,17,0.21,1,79,0.99,0,0,0,Community transmission,193
Singapore,Western Pacific,60128,1027.77,76,1.3,11,30,0.51,1,0.02,0,Sporadic cases,194
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases,195
Sint Maarten,Americas,2085,4862.18,11,25.65,3,27,62.96,0,0,0,Community transmission,196
Slovakia,Europe,339538,6219.05,13545,248.09,1578,8669,158.78,632,11.58,64,Clusters of cases,197
Slovenia,Europe,200579,9648.15,4896,235.5,205,4220,202.99,24,1.15,1,Clusters of cases,198
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases,199
Somalia,Eastern Mediterranean,9437,59.38,999,6.29,109,385,2.42,78,0.49,6,Community transmission,200
South Africa,Africa,1530033,2579.78,8327,14.04,613,51421,86.7,618,1.04,95,Community transmission,201
South Sudan,Africa,9554,85.35,684,6.11,64,104,0.93,2,0.02,0,Community transmission,202
Spain,Europe,3195062,6833.66,28554,61.07,1122,72424,154.9,336,0.72,11,Community transmission,203
Sri Lanka,South-East Asia,88524,413.41,2181,10.19,286,534,2.49,23,0.11,2,Clusters of cases,204
Sudan,Eastern Mediterranean,30989,70.67,233,0.53,0,1959,4.47,35,0.08,0,Community transmission,205
Suriname,Americas,9028,1538.95,48,8.18,4,176,30,1,0.17,0,Clusters of cases,206
Sweden,Europe,712527,7055.24,18520,183.38,0,13146,130.17,19,0.19,0,Community transmission,207
Switzerland,Europe,571123,6599.05,6814,78.73,2,9380,108.38,41,0.47,0,Community transmission,208
Syrian Arab Republic,Eastern Mediterranean,16656,95.17,539,3.08,100,1110,6.34,36,0.21,6,Community transmission,209
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending,210
